dateRep,cases,countriesAndTerritories
4/20/2020,14,China
4/19/2020,18,China
4/18/2020,31,China
4/17/2020,352,China
4/16/2020,50,China
4/15/2020,49,China
4/14/2020,94,China
4/13/2020,112,China
4/12/2020,93,China
4/11/2020,79,China
4/10/2020,55,China
4/9/2020,86,China
4/8/2020,86,China
4/7/2020,56,China
4/6/2020,67,China
4/5/2020,48,China
4/4/2020,62,China
4/3/2020,70,China
4/2/2020,100,China
4/1/2020,54,China
3/31/2020,84,China
3/30/2020,98,China
3/29/2020,113,China
3/28/2020,119,China
3/27/2020,94,China
3/26/2020,102,China
3/25/2020,78,China
3/24/2020,69,China
3/23/2020,138,China
3/22/2020,65,China
3/21/2020,52,China
3/20/2020,99,China
3/19/2020,44,China
3/18/2020,23,China
3/17/2020,43,China
3/16/2020,25,China
3/15/2020,22,China
3/14/2020,19,China
3/13/2020,22,China
3/12/2020,24,China
3/11/2020,29,China
3/10/2020,20,China
3/9/2020,45,China
3/8/2020,46,China
3/7/2020,101,China
3/6/2020,170,China
3/5/2020,117,China
3/4/2020,119,China
3/3/2020,127,China
3/2/2020,205,China
3/1/2020,574,China
2/29/2020,428,China
2/28/2020,329,China
2/27/2020,439,China
2/26/2020,410,China
2/25/2020,515,China
2/24/2020,218,China
2/23/2020,647,China
2/22/2020,826,China
2/21/2020,891,China
2/20/2020,394,China
2/19/2020,1750,China
2/18/2020,1890,China
2/17/2020,2052,China
2/16/2020,2007,China
2/15/2020,2538,China
2/14/2020,4156,China
2/13/2020,15141,China
2/12/2020,2028,China
2/11/2020,2490,China
2/10/2020,2974,China
2/9/2020,2607,China
2/8/2020,3418,China
2/7/2020,3160,China
2/6/2020,3727,China
2/5/2020,3872,China
2/4/2020,3237,China
2/3/2020,2812,China
2/2/2020,2590,China
2/1/2020,2095,China
1/31/2020,1980,China
1/30/2020,1740,China
1/29/2020,1466,China
1/28/2020,1753,China
1/27/2020,787,China
1/26/2020,665,China
1/25/2020,441,China
1/24/2020,259,China
1/23/2020,97,China
1/22/2020,140,China
1/21/2020,151,China
1/20/2020,19,China
1/19/2020,136,China
1/18/2020,17,China
1/17/2020,4,China
1/16/2020,0,China
1/15/2020,0,China
1/14/2020,0,China
1/13/2020,0,China
1/12/2020,0,China
1/11/2020,0,China
1/10/2020,0,China
1/9/2020,0,China
1/8/2020,0,China
1/7/2020,0,China
1/6/2020,0,China
1/5/2020,15,China
1/4/2020,0,China
1/3/2020,17,China
1/2/2020,0,China
1/1/2020,0,China
12/31/2019,27,China
